8/1/2022,,PRINCIPAL                                    ,,372.3,,,
11/30/2022,,INTEREST                                     ,,5.7,,,
7/1/2022,,INTEREST                                     ,,6.65,,,
11/1/2022,,PRINCIPAL                                    ,,372.77,,,
10/1/2022,,INTEREST                                     ,,6.21,,,
9/1/2022,,INTEREST                                     ,,6.56,,,
5/1/2022,,PRINCIPAL                                    ,,372.07,,,
1/5/2022,,PRINCIPAL                                    ,,-18006.65,,,
9/1/2022,,PRINCIPAL                                    ,,372.47,,,
5/1/2022,,INTEREST                                     ,,6.96,,,
2/19/2022,,INTEREST                                     ,,10.87,,,
7/1/2022,,PRINCIPAL                                    ,,372.38,,,
2/19/2022,,PRINCIPAL                                    ,,368.16,,,
10/1/2022,,PRINCIPAL                                    ,,372.82,,,
6/1/2022,,INTEREST                                     ,,7.03,,,
8/1/2022,,INTEREST                                     ,,6.73,,,
11/30/2022,,PRINCIPAL                                    ,,394.3,,,
4/1/2022,,INTEREST                                     ,,9.71,,,
11/1/2022,,INTEREST                                     ,,6.26,,,
4/1/2022,,PRINCIPAL                                    ,,369.32,,,
6/1/2022,,PRINCIPAL                                    ,,372,,,
,,,,,,,
,,,,,1142.26,2669.01,
,,,,,,3811.27,total
